"CONTEXT", "ID", "TEXT"
"AccessPermitInner","ARSTOTZKA","ARSTOTZKA"
"AccessPermitInner","Access Permit","Izin Akses"
"AccessPermitInner","This permit grants conditional access to the sovereign nation of Arstotzka","Surat izin ini memberikan akses bersyarat ke negara Arstotzka yang berdaulat"
"AccessPermitInner","NAME","NAMA"
"AccessPermitInner","NATIONALITY","WARGA NEGARA"
"AccessPermitInner","PURPOSE","TUJUAN"
"AccessPermitInner","HEIGHT","TINGGI BADAN"
"AccessPermitInner","PHYSICAL APPEARANCE","PENAMPILAN FISIK"
"AccessPermitInner","ID NUMBER","NOMOR ID"
"AccessPermitInner","DURATION","DURASI"
"AccessPermitInner","WEIGHT","BERAT BADAN"
"AccessPermitInner","ENTER BY","BERLAKU S/D"
"AccessPermitInner","Keep on person","Simpan baik-baik"
"AccessPermitInner","Ministry of Admission","Kementerian Imigrasi"
"AsylumGrantInner","Arstotzka","Arstotzka"
"AsylumGrantInner","GRANT of ASYLUM","IZIN SUAKA"
"AsylumGrantInner","This document grants conditional asylum status within Arstotzkan borders","Dokumen ini memberikan izin status suaka bersyarat di dalam batas Arstotzka"
"AsylumGrantInner","NAT","WN"
"AsylumGrantInner","ID#","NO."
"AsylumGrantInner","DOB","TL"
"AsylumGrantInner","HT","TB"
"AsylumGrantInner","WT","BB"
"AsylumGrantInner","Offer expires after","Izin berakhir pada"
"AsylumGrantInner","Ministry of Admission","Kementerian Imigrasi"
"BizCardInnerFront","ENGINEERING","PERMESINAN"
"BizCardInnerFront","Director","Direktur"
"BizCardInnerBack","WE NEED ENGINEERS","KAMI BUTUH INSINYUR"
"BizCardInnerBack","WILL BEAT .GOV PAY","GAJI DIATAS UMR"
"BizCardInnerBack","CONTACT NOW","TELEPON SEKARANG"
"BrothelHelpInner","A man named <span>Dari Ludum</span> promised me and my sister good work in Arstotzka.","Lelaki bernama <span>Dari Ludum</span> menjanjikan aku dan adikku pekerjaan bagus di Arstotzka."
"BrothelHelpInner","I do not trust him. I am afraid he will take my passport and force me to work at brothel. He is in line today.","Aku tak percaya dia. Aku takut dia akan mengambil pasporku dan memaksaku untuk kerja sebagai PSK. Dia ada di antrian hari ini."
"BrothelHelpInner","Please do something.","Tolong lakukan sesuatu"
"BulletinInnerDiploTut","Diplomat","Diplomat"
